State,District,Market_Size_Score,Chronic_Disease_Score,Acute_Disease_Score,Healthcare_Score,Economic_Score,Development_Score,Overall_PMAF,Chronic_PMAF,Acute_PMAF,Overall_Rank,Chronic_Rank,Acute_Rank
Manipur,Chandel,0.0114726831648984,0.4136228213002717,0.1588052512655592,0.2321558429114346,0.0993543958365754,0.5298973523978567,23.18188621187361,26.138658728563367,17.89943287914823,809,751,832
Manipur,Churachandpur,0.0213660384384608,0.4485812619200709,0.1383120812875522,0.2354328937770314,0.1122636871875465,0.5071826401358722,23.393838622854453,27.592104520684245,17.537817534796808,803,663,836
Manipur,Imphal East,0.0381126977174623,0.4456302015902826,0.1749827064330043,0.3292266441236443,0.1303723097350199,0.6407623551191387,28.97560921413817,31.30705208969871,23.017639898959143,504,324,769
Manipur,Imphal West,0.0446775220361014,0.4561156945456611,0.1014030785411995,0.3535061638259327,0.1390375013297718,0.6571236658483126,29.462084791670986,32.584522204768525,22.192755902154094,432,230,790
Manipur,Jiribam,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.2860733674774091,0.0923856417380798,0.5038714221591782,27.0682978463029,27.714763954336537,25.88353501762219,674,656,629
Manipur,Kakching,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.2899215709267048,0.0962687013843917,0.5042680550741523,27.230855766514534,27.853940247166868,26.00527917679583,658,644,617
Manipur,Kamjong,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.2872570868422165,0.0944302087277969,0.5037678428629112,27.13079198746805,27.76807105351577,25.926101385371503,670,652,626
Manipur,Kangpokpi,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.2894409438932828,0.1146319052498005,0.5066756421312877,27.63665904429698,28.143851635050915,26.215412480638516,619,619,600
Manipur,Noney,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.287276209933732,0.0944519590951386,0.5040204752928309,27.13666210524359,27.771306095155403,25.930490837324022,668,651,625
Manipur,Pherzawl,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.2878499026791959,0.0959850496220402,0.5037122637283288,27.17263353940086,27.802694192323184,25.95267242403479,666,650,622
Manipur,Senapati,0.0374309675094123,0.3709531153947063,0.1595454172040462,0.2037365193326354,0.1072762978059406,0.50141020137889,22.302065046525097,24.429955256533688,17.78021084077899,833,812,834
Manipur,Tamenglong,0.0105686422380672,0.3496611564169473,0.1527178064401333,0.2108453979168725,0.1082509776655757,0.393300672768029,19.4831034403417,22.22319267035588,15.333932254658992,846,834,849
Manipur,Tengnoupal,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.2889960132973562,0.0960684940120987,0.5037880534573047,27.198740434144757,27.82762596782703,25.97756592623321,662,647,620
Manipur,Thoubal,0.0353584868373847,0.3910146286945724,0.1581924696281909,0.3473876027792775,0.1014242242218237,0.534016472423954,25.85580670847644,28.20196188421017,20.987807729989413,736,616,802
Manipur,Ukhrul,0.0146377178783934,0.3246530855041239,0.1732395492612051,0.1514958062829833,0.1038765302315502,0.4680366654575241,19.739860744662312,20.924043083920367,15.859351677719962,845,843,845
Meghalaya,East Garo Hills,0.025174281091917,0.319872097499255,0.3027422911770425,0.2419910737264262,0.0937263472930754,0.4218436640481196,21.880851209953743,22.16316235871812,20.428525620364653,836,835,805
Meghalaya,East Jaintia Hills,0.1318648278850407,0.382486342552273,0.3582655401622143,0.2249431384652967,0.0949417417151251,0.3653315227654443,23.74914344376301,25.600622669717627,23.84083636854543,799,783,740
Meghalaya,East Khasi Hills,0.0690723994690588,0.3293786864336365,0.3517426517393149,0.2740480776572449,0.1686857971402622,0.5208316902790816,27.463972672642463,26.1292674275981,25.846033156288385,641,753,630
Meghalaya,Eastern West Khasi Hills,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1357579349824127,0.5173379938360513,29.075936482765485,29.37087540780872,27.390117863257075,494,517,512
