State,District,Women_Anaemia,Pregnant_Anaemia,Children_Anaemia,Men_High_BloodSugar,Women_High_BloodSugar,Men_Elevated_BP,Women_Elevated_BP,Diarrhoea_Prevalence,ARI_Prevalence,Skilled_Births,Institutional_Births,Health_Insurance,Out_Of_Pocket_Expense,Clean_Fuel,Improved_Sanitation,Improved_Drinking_Water,Electricity,Women_10Plus_Schooling,Men_Alcohol,Women_Alcohol,Men_Tobacco,Women_Tobacco,Children_Underweight,Children_Stunted,Children_Wasted,Women_Low_BMI,Women_Overweight,ANC_First_Trimester,ANC_4Plus_Visits,IFA_100_Days,Breast_Cancer_Screening,Cervical_Cancer_Screening,Oral_Cancer_Screening
Arunachal Pradesh,West Kameng,37.4,18.2,66.6,8.0,3.6,30.7,19.8,10.0,2.5,92.0,93.6,38.3,7645,88.9,88.9,99.8,97.5,43.6,45.9,19.5,38.7,13.9,13.4,24.2,23.2,1.9,25.7,45.1,27.6,18.5,0.5,0.0,0.2
Arunachal Pradesh,West Siang,30.5,16.8,45.6,7.7,4.9,41.1,32.7,3.1,2.2,87.6,84.6,26.6,14222,57.1,87.7,99.1,88.2,46.3,49.8,26.9,44.3,16.9,16.2,24.5,15.1,4.4,27.4,49.5,30.4,9.9,0.1,0.4,0.4
Assam,Baksa,73.6,65.3,78.6,9.4,8.7,25.0,24.5,5.8,0.8,92.1,89.9,69.0,7312,35.2,68.9,89.8,98.1,27.8,33.4,11.9,57.6,14.9,34.0,41.2,17.0,15.1,18.8,61.1,56.0,56.2,0.3,0.3,0.0
Assam,Barpeta,64.8,47.6,63.5,10.2,8.1,16.7,17.9,1.7,1.5,87.6,87.6,58.9,4829,38.7,63.7,98.1,88.9,31.7,8.0,0.7,46.4,14.3,26.2,29.8,19.5,14.6,16.6,62.2,43.6,49.4,0.2,0.7,0.0
Assam,Biswanath,64.4,45.1,79.8,5.7,5.5,28.4,23.5,3.7,2.0,84.6,84.3,68.4,3676,35.0,76.6,76.2,91.1,23.0,40.5,11.5,61.6,27.8,41.0,42.7,27.1,22.0,10.6,41.2,46.5,63.7,0.0,0.5,0.0
Assam,Bongaigaon,70.6,51.2,77.2,8.5,7.6,15.9,13.6,4.4,1.6,89.1,84.5,57.6,4778,49.8,72.5,95.3,97.0,28.6,13.2,1.0,45.7,18.8,35.3,46.2,20.2,13.1,16.9,65.1,33.9,46.7,0.8,0.7,0.7
Assam,Cachar,57.4,44.0,61.8,7.3,6.4,15.4,17.0,4.2,2.1,80.2,79.2,57.9,3799,43.0,57.6,43.8,81.7,25.8,14.6,2.5,51.0,33.2,38.2,28.7,30.7,19.7,9.1,52.0,32.7,35.6,0.0,0.2,0.2
Assam,Charaideo,72.3,61.6,69.7,8.8,7.1,17.9,18.2,9.8,2.2,90.5,88.2,64.9,4858,27.3,75.9,96.4,91.7,26.2,50.4,17.7,57.9,25.4,34.8,39.0,23.5,24.7,10.3,74.1,64.5,51.7,0.0,0.2,0.0
Assam,Chirang,65.2,54.1,70.4,8.9,5.7,25.6,20.8,6.3,1.6,82.9,83.7,61.5,5052,44.5,77.1,92.1,97.8,23.0,30.9,8.9,55.1,18.6,39.7,42.7,19.5,17.2,13.3,55.9,56.5,47.1,0.2,0.4,0.2
Assam,Darrang,70.4,51.6,66.8,8.3,7.0,14.5,16.7,2.1,2.3,87.0,84.4,53.7,7001,30.1,67.9,99.7,89.5,27.5,7.8,0.3,43.0,10.2,33.1,42.0,27.0,17.4,13.3,56.5,37.5,43.3,0.0,0.4,0.0
Assam,Dhemaji,62.9,61.7,73.1,9.2,4.9,24.1,16.0,0.9,3.0,91.5,87.3,66.8,5168,21.6,70.8,95.3,95.0,43.6,59.5,30.6,62.7,26.2,25.7,37.2,18.3,12.1,15.6,76.2,62.2,45.3,0.0,0.0,0.0
Assam,Dhubri,63.2,69.7,73.1,5.9,4.6,19.0,18.2,9.8,1.7,68.9,64.2,59.4,4691,40.7,61.8,96.7,92.5,20.4,5.1,0.3,55.0,21.8,37.8,48.5,21.5,22.2,12.4,49.9,37.6,47.6,0.0,0.0,0.0
