State,District,Households,Population,Literacy_Rate
Madhya Pradesh,Hoshangabad,257199,1241350,65.3
Madhya Pradesh,Katni,289551,1292042,61.2
Madhya Pradesh,Jabalpur,539060,2463289,71.31
Madhya Pradesh,Narsimhapur,250286,1091854,65.83
Madhya Pradesh,Dindori,169630,704524,53.75
Madhya Pradesh,Mandla,250146,1054905,57.35
Madhya Pradesh,Chhindwara,443361,2090922,61.9
Madhya Pradesh,Seoni,314767,1379131,62.66
Madhya Pradesh,Balaghat,391836,1701698,67.44
Madhya Pradesh,Guna,244401,1241519,52.68
Madhya Pradesh,Ashoknagar,172680,845071,55.51
Madhya Pradesh,Shahdol,251452,1066063,56.68
Madhya Pradesh,Anuppur,170715,749237,58.27
Madhya Pradesh,Sidhi,238448,1127033,53.31
Madhya Pradesh,Singrauli,243925,1178273,49.65
Madhya Pradesh,Jhabua,194157,1025048,34.35
Madhya Pradesh,Alirajpur,123800,728999,28.77
Madhya Pradesh,Khandwa (East Nimar),266655,1310061,55.85
Madhya Pradesh,Burhanpur,146341,757847,53.93
Gujarat,Kachchh,445672,2092371,59.85
Gujarat,Banas Kantha,560411,3120506,54.64
Gujarat,Patan,267633,1343734,62.36
Gujarat,Mahesana,424479,2035064,73.84
Gujarat,Sabar Kantha,481414,2428589,65.01
Gujarat,Gandhinagar,289990,1391753,74.04
Gujarat,Ahmadabad,1510134,7214225,75.35
Gujarat,Surendranagar,343213,1756268,62.27
Gujarat,Rajkot,786586,3804558,71.63
Gujarat,Jamnagar,430941,2160119,64.65
Gujarat,Porbandar,124556,585449,67.24
Gujarat,Junagadh,527326,2743082,67.18
Gujarat,Amreli,294837,1514190,65.74
Gujarat,Bhavnagar,538605,2880365,65.52
Gujarat,Anand,427605,2092745,74.13
Gujarat,Kheda,466856,2299885,72.19
Gujarat,Panch Mahals,446611,2390776,60.27
Gujarat,Dohad,334272,2127086,47.35
Gujarat,Vadodara,877106,4165626,69.45
Gujarat,Narmada,122174,590297,62.74
Gujarat,Bharuch,333483,1551019,72.1
Gujarat,The Dangs,44699,228291,61.75
Gujarat,Navsari,295131,1329672,75.35
Gujarat,Valsad,364403,1705678,68.63
Gujarat,Surat,1333200,6081322,75.17
