State,District,Reporting_Offices,Aggregate_Deposit,Gross_Bank_Credit
Mizoram,Siaha,6.0,371.4414,311.327
Nagaland,Chumoukedima,23.0,1099.4233,792.3081
Nagaland,Dimapur,59.0,6354.8526,3461.069
Nagaland,Kiphire,3.0,94.9969,183.042
Nagaland,Kohima,53.0,8416.498,2065.8157
Nagaland,Longleng,3.0,105.2169,142.9413
Nagaland,Mokokchung,23.0,866.5774,804.8891
Nagaland,Mon,16.0,380.5201,406.1254
Nagaland,Peren,5.0,181.0977,236.8408
Nagaland,Phek,5.0,220.3692,293.7671
Nagaland,Tuensang,6.0,187.6874,385.4563
Nagaland,Wokha,13.0,378.4659,370.1348
Nagaland,Zunheboto,12.0,289.3471,414.7284
Odisha,Anugul,191.0,19650.278,8230.3093
Odisha,Balangir,189.0,9513.7807,5563.0505
Odisha,Baleshwar,276.0,19328.1103,9665.4614
Odisha,Bargarh,182.0,8242.4608,5505.2063
Odisha,Bhadrak,164.0,9794.874,5416.3888
Odisha,Boudh,48.0,1930.982,1254.4341
Odisha,Cuttack,478.0,43318.7545,20742.1945
Odisha,Deogarh,41.0,2055.3024,716.7778
Odisha,Dhenkanal,149.0,9656.8225,3845.6922
Odisha,Gajapati,62.0,3289.196,1321.4668
Odisha,Ganjam,450.0,32070.684,16983.0356
Odisha,Jagatsinghapur,166.0,17877.2297,4612.2403
Odisha,Jajapur,230.0,16551.0318,8500.6216
Odisha,Jharsuguda,104.0,8702.7271,4492.181
Odisha,Kalahandi,162.0,6818.6002,4250.4356
Odisha,Kandhamal,74.0,3608.3343,1646.9839
Odisha,Kendrapara,143.0,9695.6783,3440.5922
